desc,gpt4
epilepsy,1.0
partial epilepsy,1.0
"epilepsy, recurrent seizures, convulsions",1.0
generalized convulsive epilepsy,1.0
electroencephalogram (eeg),1.0
levetiracetam,1.0
convulsions,0.85
lamotrigine,1.0
lacosamide,1.0
clobazam,0.85
zonisamide,1.0
topiramate,0.9
10-hydroxycarbazepine,0.9
valproate,1.0
phenytoin,1.0
phenobarbital,0.85
valproic acid,1.0
phenytoin free,0.85
norclobazam,0.85
rufinamide,1.0
ethosuximide,1.0
"lack of normal physiological development, unspecified",0.1
fosphenytoin,1.0
other conditions of brain,0.5
carbamazepine,1.0
"encephalopathy, not elsewhere classified",0.25
develomental delays and disorders,0.25
felbamate,1.0
primidone,1.0
eslicarbazepine,1.0
oxcarbazepine,1.0
mental retardation,0.1
carnitine free (c0),0.05
interpretation (carnitinep) (group:icar),0.05
"encephalitis, non-infectious",0.25
levocarnitine,0.1
carnitine,0.1
acylcarnitine,0.05
"other conditions of brain, nos",0.25
citric acid / potassium citrate,0.05
encephalitis,0.25
neuromuscular disorder panel (group:nmd),0.1
neurological disorders,0.5
lactate,0.05
ammonia,0.05
nmda nr1 ab (group:nmda-nr1),0.1
lack of normal physiological development,0.1
other specified nonpsychotic and/or transient mental disorders,0.2
gabapentin,0.85
gamma aminobutyrate,0.25
autism,0.05
acylcarnitine/carnitine.free (c0),0.05
nonspecific abnormal results of function study of brain and central nervous system,0.65
abnormal findings on study of brain and/or nervous system,0.65
aphasia/speech disturbance,0.25
transient alteration of awareness,0.85
aphasia,0.1
infantile cerebral palsy,0.1
myoclonus,0.75
argininosuccinate,0.05
valproate free,0.75
aspartate,0.0
hydroxyproline,0.05
citrulline,0.01
ampa-receptor ab (group:ampa-r),0.2
cystine,0.05
cv2 ab,0.0
nervous system congenital anomalies,0.3
cerebral edema and compression of brain,0.2
glycine,0.1
diazepam,0.75
amino acids,0.05
beta hydroxybutyrate,0.05
alloisoleucine,0.0
carnitine.free (c0)/carnitine.total,0.1
homocitrulline,0.05
carnitine esters,0.1
alteration of consciousness,0.65
voltage-gated potassium channel ab,0.65
ethanolamine,0.0
lysine,0.01
arginine,0.0
asparagine,0.0
histidine,0.0
glutamate,0.2
leucine,0.0
isoleucine,0.0
glutamine,0.05
3-methylhistidine,0.01
"amino acids, ser/plas (group:paap)",0.05
altered mental status,0.65
poisoning by anticonvulsants and anti-parkinsonism drugs,0.75
mild cognitive impairment,0.2
cancer of brain,0.1
malignant and unknown neoplasms of brain and nervous system,0.1
cancer of brain and nervous system,0.1
"benign neoplasm of brain, cranial nerves, meninges",0.2
intracerebral hemorrhage,0.1
"cerebral artery occlusion, with cerebral infarction",0.1
occlusion of cerebral arteries,0.1
intracranial hemorrhage (injury),0.1
benign neoplasm of brain and other parts of nervous system,0.25
skull and face fracture and other intercranial injury,0.1
intracranial hemorrhage,0.1
computerized axial tomography (ct) scan head,0.25
"persons with potential health hazards related to socioeconomic, psychosocial, and other circumstances",0.05
delirium due to conditions classified elsewhere,0.1
hemiplegia,0.1
other cerebral degenerations,0.25
total phenytoin concentration,0.85
cerebral ischemia,0.1
essential tremor,0.1
other tests,0.1
acquired hypothyroidism,0.05
late effects of cerebrovascular disease,0.1
fetal distress and abnormal forces of labor,0.0
coma,0.2
hydrocephalus,0.2
hypothermia/chills,0.0
toxic effect of (non-ethyl) alcohol and petroleum and other solvents,0.05
transient cerebral ischemia,0.1
incision and excision of cns,0.3
cerebral cysts,0.2
delirium dementia and amnestic and other cognitive disorders,0.1
dementias,0.1
cerebral aneurysm,0.1
other signs and symptoms involving emotional state,0.2
congenital anomalies of peripheral vascular system,0.0
cerebrovascular disease,0.1
subdural hemorrhage,0.1
hypertensive heart disease,0.0
temozolomide,0.1
total dilantin concentration,0.85
extrapyramidal disease and abnormal movement disorders,0.2
other open wound of head and face,0.1
valproic acid serum concentration,0.85
abnormal involuntary movements,0.25
vascular dementia,0.05
migrain with aura,0.1
phenytoin (dilantin) concentration,0.85
visual field defects,0.1
other headache syndromes,0.1
migraine,0.1
symptoms involving nervous and musculoskeletal systems,0.25
simplythick,0.0
subarachnoid hemorrhage,0.05
phenytoin concentration,0.85
lack of coordination,0.25
other hypertensive complications,0.05
other and unspecified disorders of the nervous system,0.25
melatonin,0.1
