desc,gpt4
asthma,1.0
asthma with exacerbation,1.0
allergic rhinitis,0.6
albuterol,1.0
montelukast,1.0
fluticasone,1.0
chronic obstructive asthma,1.0
wheezing,0.85
cough,0.65
fluticasone / salmeterol,1.0
chronic obstructive asthma with exacerbation,1.0
other diagnostic procedures on lung and bronchus,0.65
cetirizine,0.25
other symptoms of respiratory system,0.5
albuterol / ipratropium,1.0
dog dander ige,0.75
budesonide,1.0
acute bronchitis and bronchiolitis,0.25
american house dust mite ige,0.65
cat dander ige,0.65
alternaria alternata ige,0.75
acute upper respiratory infections of multiple or unspecified sites,0.25
chronic pharyngitis and nasopharyngitis,0.1
bronchitis,0.6
aspergillus fumigatus ige,0.65
azithromycin,0.1
white oak (quercus alba) ige,0.2
timothy (phleum pratense) ige,0.25
common ragweed (ambrosia elatior) ige,0.25
chronic airway obstruction,0.85
chronic bronchitis,0.4
dermatophagoides pteronyssinus ige,0.25
allergic reaction to food,0.1
fexofenadine,0.25
cladosporium herbarum ige,0.65
obstructive chronic bronchitis,0.75
mometasone,0.85
"esophagitis, gerd and related diseases",0.1
loratadine,0.7
gerd,0.1
white ash (fraxinus americana) ige,0.25
budesonide / formoterol,1.0
tobacco use disorder,0.25
american beech (fagus grandifolia) ige,0.25
ige,0.7
prophylactic vaccinations and inoculations,0.1
eastern white pine (pinus strobus) ige,0.25
tiotropium,0.85
white birch (betula populifolia) ige,0.25
mugwort (artemisia vulgaris) ige,0.75
hazelnut (corylus avellana) ige,0.2
beclomethasone dipropionate,1.0
mouse epithelium ige,0.2
penicillium notatum ige,0.2
salmeterol,1.0
kentucky blue grass (poa pratensis) ige,0.25
shortness of breath,0.85
"overweight, obesity and other hyperalimentation",0.1
brazil nut (bertholletia excelsa) ige,0.25
diseases of esophagus,0.05
triamcinolone,0.75
chronic sinusitis,0.25
goosefoot (chenopodium album) ige,0.25
"allergies, other",0.25
obesity,0.25
giant ragweed (ambrosia trifida) ige,0.25
migraine,0.05
acute sinusitis,0.1
codeine / guaifenesin,0.25
pistachio (pistacia vera) ige,0.25
ipratropium,0.85
atopic/contact dermatitis due to other or unspecified,0.1
cockroach (blatella germanica) ige,0.85
walnut (juglans spp) ige,0.2
benzonatate,0.25
theophylline,0.85
cottonwood (populus deltoides) ige,0.85
allergic conjunctivitis,0.2
acute pharyngitis,0.1
cashew nut (anacardium occidentale) ige,0.25
pine nut (pinus edulis) ige,0.25
urticaria,0.1
white elm (ulmus americana) ige,0.25
rast panel/testing (group:rastp),0.85
bermuda grass (cynodon dactylon) ige,0.25
johnson grass (sorghum halepense) ige,0.65
"conjunctivitis, noninfectious",0.05
trout (oncorhynchus mykiss) ige,0.1
omalizumab,1.0
fusarium moniliforme ige,0.1
chestnut (castanea sativa) ige,0.2
cocksfoot (dactylis glomerata) ige,0.25
"anxiety, phobic and dissociative disorders",0.05
mite dust ige,0.85
setomelanomma rostrata ige,0.0
pecan or hickory nut (carya illinoinensis nut) ige,0.25
boxelder (acer negundo) ige,0.25
almond (prunus dulcis) ige,0.25
azelastine,0.85
umeclidinium,0.9
epinephrine,0.75
nasal polyps,0.25
"injection, mepolizumab, 1 mg",1.0
zileuton,1.0
acute bronchospasm,0.85
irritable bowel syndrome,0.05
menopausal and postmenopausal disorders,0.05
bronchiectasis,0.25
symptomatic menopause,0.0
postnasal drip,0.25
elevated blood pressure reading without diagnosis of hypertension,0.05
"other diagnostic procedures (interview, evaluation, consultation)",0.25
noninflammatory female genital disorders,0.0
sleep disorders,0.1
zafirlukast,1.0
abnormal findings on mammogram or breast exam,0.0
formoterol / mometasone,1.0
mammography,0.0
sleep apnea,0.2
"disorders of uterus, nec",0.0
septal deviations/turbinate hypertrophy,0.25
other headache syndromes,0.0
palpitations,0.1
back pain,0.0
hyperlipidemia,0.0
disorders of lipoid metabolism,0.05
herpes simplex,0.0
essential hypertension,0.05
heartburn,0.0
fasciitis,0.0
migrain with aura,0.0
myalgia and myositis unspecified,0.05
acne,0.0
abnormal papanicolaou smear of cervix and cervical hpv,0.0
"other diagnostic procedures, female organs",0.0
sumatriptan,0.0
eustachian tube disorders,0.05
benign mammary dysplasias,0.0
disorders of menstruation and other abnormal bleeding from female genital tract,0.0
high density lipoprotein cholesterol,0.05
pneumoconiosis,0.1
emphysema,0.2
abnormal mammogram,0.0
benign neoplasm of uterus,0.0
uterine leiomyoma,0.0
abnormal glucose,0.05
anaphylactic shock nos,0.2
aerochamber,0.85
symptoms involving female genital tract,0.0
"stress incontinence, female",0.0
cervicalgia,0.0
triglycerides,0.05
rosacea,0.0
"rheumatism, unspecified and fibrositis",0.0
zolmitriptan,0.0
sarcoidosis,0.1
Bordetella parapertussis DNA,0.05
latex ige,0.25
albuterol 2.5mg w/ipratrop 0.5mg(via upmc dme),1.0
bacteria identified,0.1
prednisone,0.85
procalcitonin study day 5,0.05
procalcitonin study day 3,0.05
methylprednisolone,0.75
drug unknown,0.1
Bordetella pertussis Ag,0.1
consult / referral to the comprehensive lung center,0.75
unspecified perpetrator of maltreatment and neglect,0.0
caffeine / ergotamine,0.05
latex ab.ige.rast class,0.25
osteoarthrosis nos,0.0
pirbuterol,1.0
procalcitonin study day 1,0.05
Bordetella pertussis DNA,0.1
easivent,0.2
chlorpheniramine-hydrocod8-10mg/5mlud,0.75
azithromycin_250mg_tablet_2_pak,0.1
cefaclor,0.1
t4 (mwh only),0.0
family history of asthma,0.8
rape,0.0
nonspecific chest pain,0.25
abnormal heart sounds,0.1
acetaminophen-hydrocodone,0.0
amoxicillin-clavulanate,0.0
"male partner, perpetrator of maltreatment and neglect",0.0
personal history of physical and sexual abuse in childhood,0.0
anxiety disorder,0.1
cladosporium herbarum ab.ige.rast class,0.25
obstructive sleep apnea,0.2
mood disorders,0.0
nebulizer (compressor and supplies),0.85
other reasons for seeking consultation,0.1
acer negundo ab.ige.rast class,0.0
bipolar,0.0
interpretation-colovantage (trademark),0.0
procalcitonin study day 2,0.05
quercus alba ab.ige.rast class,0.1
lithium_125mg/2.1ml_syrup_ud,0.0
phleum pratense ab.ige.rast class,0.25
long term (current) use of inhaled steroids,1.0
ra nac 60ct,0.0
english plantain (plantago lanceolata) ige,0.2
encounters for unspecified administrative purpose,0.0
flutter valve,0.05
total eosinophil count,0.65
other respiratory therapy,0.5
person feigning illness,0.0
plantago lanceolata ab.ige.rast class,0.2
homatropine / hydrocodone,0.1
ciclesonide,1.0
calamine / zinc oxide topical product,0.01
cromolyn,0.9
excessive vomiting in pregnancy,0.0
penicillin g benzathine,0.0
sesame seed (sesamum indicum) ige,0.25
toxic effect of noxious substances eaten as food,0.1
peanut (arachis hypogaea) ige,0.2
pimecrolimus topical product,0.1
crab (cancer pagurus) ige,0.05
shrimp (pandalus borealis) ige,0.25
silver birch (betula verrucosa) ige,0.25
blue mussel (mytilus edulis) ige,0.25
lobster (homarus gammarus) ige,0.2
codfish (gadus morhua) ige,0.2
salmon (salmo salar) ige,0.2
tuna (thunnus albacares) ige,0.1
levocetirizine,0.25
other diagnostic procedures on skin and subcutaneous tissue,0.0
casein ige,0.25
Poppy Seed (Papaver somniferum) IgE,0.2
deprecated s pneum12 igg ser-mcnc,0.05
Streptococcus pneumoniae Danish serotype 19F IgG,0.05
Streptococcus pneumoniae Danish serotype 3 IgG,0.05
streptococcus pneumoniae danish serotype 18c igg,0.05
deprecated s pneum4 igg ser-mcnc,0.0
Streptococcus pneumoniae Danish serotype 4 IgG,0.05
streptococcus pneumoniae danish serotype 9v igg,0.0
deprecated s pneum9 igg ser-mcnc,0.1
Streptococcus pneumoniae Danish serotype 23F IgG,0.05
deprecated s pneum23 igg ser-mcnc,0.1
Streptococcus pneumoniae Danish serotype 12F IgG,0.05
deprecated s pneum 1 igg ser-mcnc,0.1
Streptococcus pneumoniae Danish serotype 5 IgG,0.05
deprecated s pneum3 igg ser-mcnc,0.1
Streptococcus pneumoniae Danish serotype 8 IgG,0.05
Streptococcus pneumoniae serotype IgG,0.05
streptococcus pneumoniae danish serotype 6b igg,0.05
deprecated s pneum14 igg ser-mcnc,0.1
deprecated s pneum19 igg ser-mcnc,0.1
streptococcus pneumoniae danish serotype 7f igg,0.05
deprecated s pneum5 igg ser-mcnc,0.1
Streptococcus pneumoniae Danish serotype 1 IgG,0.05
Streptococcus pneumoniae Danish serotype 14 IgG,0.05
Streptococcus pneumoniae Danish serotype 9N IgG,0.05
deprecated s pneum8 igg ser-mcnc,0.1
"Mouse epithelium, serum proteins + urine proteins IgE",0.85
Beta lactoglobulin IgE,0.25
lactalbumin alpha ige,0.2
otitis media,0.05
horse dander ige,0.7
Alternaria sp IgE,0.75
goose feather ige,0.25
"influenza virus vaccine, inactivated",0.1
Aspergillus sp Ab,0.25
Aspergillus sp IgE,0.65
coconut (cocos nucifera) ige,0.2
carrot (daucus carota) ige,0.25
blatella germanica ab.ige.rast class,0.25
Allergen.miscellaneous Ab.IgE.RAST class,0.65
constipation,0.0
fungus,0.1
other tests,0.1
Penicillium sp Ab,0.1
egg white ige,0.25
beef ige,0.1
ovomucoid ige,0.65
allergy studies,0.65
other anemias,0.0
family history,0.2
depression,0.05
hypothyroidism nos,0.0
chronic pain,0.1
electrolyte imbalance,0.1
"iron deficiency anemias, unspecified or not due to blood loss",0.05
"potential health hazards related to communicable diseases
potential health hazards related to communicable diseases",0.0
insomnia,0.1
other infectious and parasitic diseases,0.05
other dyspnea,0.65
type 2 diabetes,0.05
hypertensive heart and/or renal disease,0.05
chronic renal failure [ckd],0.05
abdominal pain,0.0
poisoning/allergy of sulfonamides,0.1
screening for other diseases and disorders,0.1
"persons with potential health hazards related to socioeconomic, psychosocial, and other circumstances",0.1
tachycardia nos,0.1
screening for infectious and parasitic diseases,0.1
nausea and vomiting,0.05
adverse drug events and drug allergies,0.25
allergy/adverse effect of penicillin,0.1
coronary atherosclerosis,0.0
pain in limb,0.0
substance addiction and disorders,0.05
acquired absence of organs,0.0
adverse effects of sedatives or other central nervous system depressants and anesthetics,0.05
atrial fibrillation and flutter,0.0
osteoarthritis; localized,0.0
diarrhea,0.0
complications of transplants and reattached limbs,0.0
vitamin d deficiency,0.05
bacterial infection nos,0.05
acute renal failure,0.0
respiratory failure,0.5
pleurisy; pleural effusion,0.1
acute pain,0.1
attention deficit hyperactivity disorder,0.0
other disorders of metabolism,0.05
adjustment reaction,0.1
elevated white blood cell count,0.2
pulmonary collapse; interstitial and compensatory emphysema,0.1
rash and other nonspecific skin eruption,0.05
pneumonia,0.2
adverse effects of antibacterials (not penicillins),0.05
circulatory disease nec,0.0
mental disorders durring/after pregnancy,0.05
abnormality in fetal heart rate or rhythm,0.0
thrombocytopenia,0.05
peritoneal adhesions (postoperative) (postinfection),0.0
sickle cell anemia,0.0
other chronic nonalcoholic liver disease,0.0
malaise and fatigue,0.1
benign neoplasm of colon,0.0
osteoporosis,0.0
other disorders of bone and cartilage,0.0
disorders of magnesium metabolism,0.05
other disorders of soft tissues,0.05
"symptoms concerning nutrition, metabolism, and development",0.05
effects of other external causes,0.05
edema,0.25
vitamin b-complex deficiencies,0.05
hypovolemia,0.05
hypotension nos,0.05
"hypertension complicating pregnancy, childbirth, and the puerperium",0.05
preeclampsia and eclampsia,0.0
"abnormality of organs and soft tissues of pelvis complicating pregnancy, childbirth, or the puerperium",0.0
anemia of chronic disease,0.05
fever of unknown origin,0.05
anemia during pregnancy,0.05
cerebral ischemia,0.0
screening for malignant neoplasms,0.0
blue top hold,0.0
green top hold (plasma),0.0
light green top hold,0.0
flovent,1.0
uhold,0.0
dok,0.0
glucose,0.0
"sennosides, usp 8.6 mg oral tablet",0.0
estimated gfr (mdrd equation),0.05
length of urine collection,0.05
ventolin,1.0
"heparin sodium, porcine 5000 unt/ml injectable solution",0.0
creatinine,0.0
ph,0.0
leukocytes,0.1
specific gravity,0.05
ketone,0.05
bilirubin,0.0
urine appearance,0.0
nitrite,0.05
urobilinogen,0.0
protein,0.0
blood,0.0
urea nitrogen,0.05
fluticasone propionate 0.05 mg/actuat metered dose nasal spray,0.25
2 ml ondansetron 2 mg/ml injection,0.0
epithelial cells,0.1
rbc,0.0
yeast,0.0
bacteria,0.0
wbc,0.05
"hcg, urine, qualitative",0.0
hemoglobin,0.05
rdw,0.05
mchc,0.05
mch,0.0
red blood cells,0.05
mcv,0.0
white blood cells,0.1
urine mucous,0.1
ondansetron 4 mg disintegrating oral tablet,0.0
advair,1.0
